X,CH1,CH2,
Second,Volt,Volt,
-5.80604e-01,1.74e-01,5.97e-01,
-5.80458e-01,1.74e-01,5.97e-01,
-5.80311e-01,1.74e-01,5.97e-01,
-5.80165e-01,1.74e-01,5.97e-01,
-5.80018e-01,1.74e-01,5.97e-01,
-5.79872e-01,1.66e-01,5.97e-01,
-5.79725e-01,1.74e-01,5.97e-01,
-5.79579e-01,1.74e-01,5.97e-01,
-5.79432e-01,1.74e-01,5.97e-01,
-5.79286e-01,1.68e-01,5.97e-01,
-5.79139e-01,1.74e-01,5.97e-01,
-5.78993e-01,1.74e-01,5.97e-01,
-5.78846e-01,1.74e-01,5.97e-01,
-5.78700e-01,1.74e-01,5.97e-01,
-5.78553e-01,1.72e-01,5.97e-01,
-5.78407e-01,1.66e-01,5.97e-01,
-5.78260e-01,1.72e-01,5.97e-01,
-5.78114e-01,1.72e-01,5.97e-01,
-5.77967e-01,1.72e-01,5.97e-01,
-5.77821e-01,1.78e-01,5.97e-01,
-5.77674e-01,1.74e-01,5.97e-01,
-5.77528e-01,1.74e-01,5.97e-01,
-5.77381e-01,1.72e-01,5.97e-01,
-5.77235e-01,1.74e-01,5.97e-01,
-5.77088e-01,1.72e-01,5.97e-01,
-5.76942e-01,1.74e-01,5.97e-01,
-5.76795e-01,1.72e-01,5.97e-01,
-5.76649e-01,1.74e-01,5.97e-01,
-5.76503e-01,1.72e-01,5.97e-01,
-5.76356e-01,1.72e-01,5.97e-01,
-5.76210e-01,1.74e-01,5.97e-01,
-5.76063e-01,1.74e-01,5.97e-01,
-5.75917e-01,1.72e-01,5.97e-01,
-5.75770e-01,1.72e-01,5.97e-01,
-5.75624e-01,1.74e-01,5.97e-01,
-5.75477e-01,1.74e-01,5.97e-01,
-5.75331e-01,1.70e-01,5.97e-01,
-5.75184e-01,1.74e-01,5.97e-01,
-5.75038e-01,1.70e-01,5.97e-01,
-5.74891e-01,1.72e-01,5.97e-01,
-5.74745e-01,1.58e-01,5.97e-01,
-5.74598e-01,1.70e-01,5.97e-01,
-5.74452e-01,1.72e-01,5.97e-01,
-5.74305e-01,1.72e-01,5.97e-01,
-5.74159e-01,1.72e-01,5.97e-01,
-5.74012e-01,1.74e-01,5.97e-01,
-5.73866e-01,1.72e-01,5.97e-01,
-5.73719e-01,1.72e-01,5.97e-01,
-5.73573e-01,1.74e-01,5.97e-01,
-5.73426e-01,1.70e-01,5.97e-01,
-5.73280e-01,1.70e-01,5.97e-01,
-5.73133e-01,1.72e-01,5.97e-01,
