0,3726,20939
1,-4,23239
2,1508,25547
3,4306,25042
4,11910,21142
5,6381,20186
6,-1,24086
7,1770,25683
8,2841,25144
9,2397,25547
10,3575,25527
11,3138,25119
12,2784,25255
13,3400,25328
14,1992,25477
15,3281,25294
16,2480,25448
17,2513,25022
18,11045,22322
19,7739,20795
20,0,24695
21,2661,25064
22,10192,23260
23,9166,21498
24,7,25398
25,3828,25250
26,8725,22626
27,936,25363
28,11827,21863
29,3044,23101
30,1666,25032
31,2302,25214
32,3299,25084
33,2010,25291
34,2120,25323
35,3064,24840
36,2254,25226
37,3043,24917
38,2702,24960
39,3181,25080
40,2505,24853
41,2741,25074
42,2541,24811
43,2645,25290
44,3084,24873
45,3432,24826
46,2196,25255
47,3353,24878
48,4829,24331
49,7668,22410
50,774,25170
51,3414,24870
52,2319,24969
53,3056,24880
54,2692,24780
55,2186,25100
56,3452,25050
57,2705,24741
58,2524,24852
59,2349,24889
60,3238,25128
61,2363,24725
62,2708,25078
63,2759,24665
64,3003,25128
65,2715,24644
66,2806,25010
67,1774,25138
68,3276,24799
69,2495,24929
70,3733,24843
71,2483,24845
72,3449,24767
73,1880,24908
74,3354,24825
75,2472,24994
76,3238,24737
77,2842,25121
78,3187,24800
79,3630,25095
80,3029,24634
81,2945,25151
82,6713,23630
83,1814,24490
84,2366,24914
85,3837,24825
86,3963,24651
87,3209,24817
88,3441,24948
89,4560,24448
90,3800,24704
91,4060,24413
92,5761,23876
93,6725,22687
94,2164,24574
95,3338,24458
96,3069,24597
97,8586,22434
98,1676,24925
99,3324,24377
100,3230,24687
101,2745,24337
102,2823,24773
103,3772,24819
104,3018,24402
105,2195,24740
106,3620,24595
107,3178,24342
108,3394,24373
109,4692,24279
110,2959,24390
111,3806,24790
112,3920,24730
113,3514,24697
114,3905,24816
115,3986,24841
116,4048,24427
117,3596,24298
118,3518,24235
119,2988,24560
120,3073,24115
121,3356,24617
122,2655,24459
123,3728,24504
124,3076,24250
125,3136,24679
126,4134,24546
127,3398,24184
128,2912,24176
129,3018,24327
130,3781,24229
131,3511,24323
132,3831,24520
133,5827,24058
134,2955,24018
135,2428,24445
136,4195,24214
137,3380,24341
138,3544,24442
139,3353,24519
140,3768,24300
141,5977,23819
142,5866,23247
143,8054,22647
144,6802,21688
145,1078,24259
146,2273,24263
147,4173,23848
148,2626,23816
149,3415,24049
150,2618,23682
151,2920,24175
152,3857,23666
153,2964,23857
154,3377,23504
155,3445,23938
156,2635,23604
157,3298,23971
158,2961,23538
159,2867,24026
160,3273,23545
161,2319,23959
162,2990,23689
163,2413,23920
164,3060,23670
165,2430,23965
166,2124,23867
167,3150,23824
168,2498,23809
169,3374,23897
170,3208,23610
171,3036,24119
172,2668,23543
173,2708,24131
174,3530,23607
175,2719,23903
176,3438,23519
177,3015,23702
178,2659,23708
179,2851,23822
180,2383,23668
181,2260,23506
182,2631,23965
183,2472,23672
184,2627,23842
185,2730,23687
186,3532,23946
187,4797,23966
188,3782,23495
189,2718,23906
190,3727,23673
191,3316,23378
192,2296,23909
193,3877,23540
194,2848,23627
195,3483,23901
196,3630,23462
197,2714,23735
198,3478,23445
199,3554,23807
200,3265,23364
201,3060,23838
202,3197,23376
203,3040,23745
204,3180,23357
205,2899,23730
206,3970,23656
207,2532,23714
208,3302,23385
209,3275,23708
210,2021,23796
211,3223,23392
212,3000,23933
213,2783,23476
214,3126,23986
