
0,0,59917,313

0,1,59842,128

0,2,59767,116

0,3,59693,178

0,4,59620,249

0,5,59548,402

0,6,59478,591

0,7,59408,550

0,8,59336,421

0,9,59264,365

0,10,59191,338

0,11,59118,326

0,12,59045,317

0,13,58972,272

0,14,58898,166

0,15,58823,103

0,16,58749,150

0,17,58675,234

0,18,58602,322

0,19,58531,541

0,20,58461,549

0,21,58389,429

0,22,58317,348

0,23,58244,319

0,24,58171,305

0,25,58098,300

0,26,58025,297

0,27,57951,183

0,28,57876,59

0,29,57801,80

0,30,57727,177

0,31,57654,250

0,32,57582,434

0,33,57511,546

0,34,57440,459

0,35,57368,360

0,36,57295,323

0,37,57222,305

0,38,57149,303

0,39,57076,298

0,40,57002,211

0,41,56926,44

0,42,56850,42

0,43,56775,129

0,44,56701,212

0,45,56629,361

0,46,56559,570

0,47,56488,533

0,48,56416,414

0,49,56344,359

0,50,56271,337

0,51,56198,332

0,52,56125,347

0,53,56052,319

0,54,55978,191

0,55,55903,116

0,56,55829,227

0,57,55757,366

0,58,55686,481

0,59,55617,718

0,60,55548,742

0,61,55478,623

0,62,55408,550

0,63,55337,493

0,64,55266,504

0,65,55195,496

0,66,55124,495

0,67,55052,367

0,68,54978,211

0,69,54904,236

0,70,54831,335

0,71,54759,405

0,72,54689,607

0,73,54621,751

0,74,54552,674

0,75,54482,573

0,76,54411,508

0,77,54340,473

0,78,54268,446

0,79,54197,455

0,80,54125,369

0,81,54051,210

0,82,53977,207

0,83,53904,264

0,84,53831,335

0,85,53760,473

0,86,53691,676

0,87,53621,638

0,88,53551,551

0,89,53480,542

0,90,53410,581

0,91,53340,576

0,92,53270,566

0,93,53200,559

0,94,53128,420

0,95,53055,327

0,96,52983,394

0,97,52911,387

0,98,52838,312

0,99,52766,442

1,0,52695,477

1,1,52620,108

1,2,52546,157

1,3,52474,407

1,4,52404,550

1,5,52333,472

1,6,52260,272

1,7,52186,204

1,8,52111,141

1,9,52036,102

1,10,51961,98

1,11,51886,76

1,12,51813,331

1,13,51742,476

1,14,51671,547

1,15,51603,830

1,16,51535,805

1,17,51468,916

1,18,51401,901

1,19,51332,727

1,20,51263,690

1,21,51194,657

1,22,51124,572

1,23,51054,577

1,24,50983,509

1,25,50910,346

1,26,50836,219

1,27,50762,235

1,28,50689,320

1,29,50615,229

1,30,50542,299

1,31,50469,323

1,32,50395,192

1,33,50320,80

1,34,50244,28

1,35,50168,2

1,36,50092,-7

1,37,50016,-11

1,38,49939,-91

1,39,49861,-233

1,40,49783,-238

1,41,49705,-166

1,42,49628,-90

1,43,49553,60

1,44,49480,256

1,45,49406,215

1,46,49331,85

1,47,49255,31

1,48,49179,5

1,49,49103,-7

1,50,49027,-11

1,51,48951,-49

1,52,48873,-174

1,53,48795,-248

1,54,48717,-206

1,55,48640,-113

1,56,48564,-18

1,57,48490,204

1,58,48416,236

1,59,48341,119

1,60,48266,46

1,61,48190,12

1,62,48114,-4

1,63,48038,-11

1,64,47962,-18

1,65,47885,-123

1,66,47807,-248

1,67,47729,-233

1,68,47652,-140

1,69,47575,-74

1,70,47500,118

1,71,47427,247

1,72,47353,166

1,73,47278,69

1,74,47202,24

1,75,47126,0

1,76,47050,-9

1,77,46974,-12

1,78,46897,-86

1,79,46819,-227

